Nombre,Símbolo,Precio_USD,Market_Cap_USD,Volumen_24h_USD
Arm Holdings plc Tokenized Stock (Ondo),ARMon,101.99,704362.59704363,670328865710.0
AppLovin tokenized stock (xStock),APPX,451.41,699685.5699686,760816.85
POOH,POOH,0.081398,588216.05588216,0.0
Ultraround Money,CIRCLE,0.6718,586831.22586831,59098790.0
Danaher tokenized stock (xStock),DHRX,216.59,584813.45584813,31334144.66
Butthole Coin,BHC,0.0005846,584681.47584681,430272735890000.0
TRUST AI,TRT,0.1537,584402.65584403,52155339130.0
MilkyWay,MILK,0.001471,583133.97583134,1610910940000.0
Mastercard tokenized stock (xStock),MAX,555.02,582768.34582768,1172121.11
International Business Machines tokenized stock (xStock),IBMX,291.33,582660582660.0,4881.67
DomRaider,DRT,0.0009845,582390.89582391,582390.89582391
Optimus AI,OPTI,0.006124,582035.79582036,6969111370000.0
DeFi,DEFI,0.0003322,579912.97579913,184259554630000.0
MSTR2100,MSTR,0.02799,577958.15577958,34795812420000.0
Plugin Decentralized Oracle,PLI,0.003809,576560.73576561,7425119490000.0
Snowflake Tokenized Stock (Ondo),SNOWon,169.62,576220.86576221,195619311530.0
Nitro,NITRO,0.051368,574616.8574617,1.7798713009e+17
Redacted,RDAC,0.002085,472303.69472304,1566047751050000.0
Everest,ID,0.004045,472137.08472137,472137.08472137
Bridge AI,BRG,5.894e-05,471669.31471669,279647430000.0
Wing Finance,WING,0.08636,471654.6471655,1296351500000.0
Didi Bam Bam,DDBAM,0.02237,469908.2469908,373841670000.0
Rage Guy,RAGE,0.0004762,468614.91468615,41178640000.0
CrowdStrike tokenized stock (xStock),CRWDX,417.78,467919.9346792,358813858.84
RefundYourSOL,RYS,0.0004719,464651.14464651,29186180000.0
BullDogito,BDOGITO,0.001462,464647.1464647,290198240.0
Deutsche eMark,DEM,0.002935,464495.83464496,258660.00000000003
SaTT,SATT,0.0001431,464370.82464371,464370.82464371
PointPay,PXP,0.01541,462528.01462528,838075430000.0
Flying Ketamine Horse,FKH,0.0004686,462363.51462364,7765481650000000.0
DeFinder Capital,DFC,0.01739,461969.42461969,461969.42461969
Rift AI,RIFT,0.001735,459729.9745973,459729.9745973
Decimated,DIO,0.0006707,364367.92364368,79766118920000.0
Prism,PRISM,0.0006299,363570.8363571,1249619830000.0
All.Art Protocol,AART,8.701e-05,361612.92361613,13522155410000.0
The Black Whale (blackwhale.fun),BLACKWHALE,0.0003668,361287.92361288,1.495691407e+16
Forj (Bondly),BONDLY,0.0003664,360456.24360456,2372464730000.0
APF Coin,APFC,0.0107,359307.95359308,16615460.0
ASTROS,ASTROS,0.01408,359104.03359104,498183530000.0
FooDriver,FDC,0.0364,359003.5359004,1287783530000.0
Reflexer Ungovernance Token,FLX,1.85,358991.24358991,92204970.0
XANA,XETA,7.258e-05,357538.94357539,12251168770000.0
Burn,BURN,0.051879,357031.22357031,4552524220000000.0
TypeAI,TYPE,0.03564,356470.0235647,356470.0235647
Bubble,BUBBLE,9.647e-05,355641.62355642,17043176649999.998
Chihuahua,HUAHUA,0.053795,355093.56355094,577152020000.0
VinuChain,VC,0.0006314,354561.33354561,303573480780000.0
PARSIQ,PRQ,0.0009688,300584.18300584,129619133790000.0
Biometric Financial,BIOFI,7.63e-05,298666.97298667,55337725240000.0
CannabisCoin,CANN,0.00093,298659.26298659,298659.26298659
MineD,DIGI,1.191e-05,298574.63298575,742806230000000.0
Kasta,KASTA,0.0003898,298388.32298388,58970151270000.0
BNBXBT,BNBXBT,0.0002978,297877.89297878,1220440970000.0
OpenLeverage,OLE,0.001579,297875.62297876,120827650000.0
TERMINUS,TERMINUS,0.002965,296505.15296505,23934880720000.0
ANGL TOKEN,ANGL,0.001235,295494.52295495,653528410.0
CBPAY Global,CBPAY,7.98e-05,293732.5293733,3033790000.0
L7,LSD,0.007144,292506.22292506,65.67
Giveth,GIV,0.000762,292281.36292281,117153000.0
Etarn,ETAN,0.003459,291255.16291255,533645154230000.0
Ferro,FER,0.0003103,289375.12289375,2394877170000.0
Eliza (elizawakesup),ELIZA,0.0002887,288771.57288772,231731802410000.0
AppLovin Tokenized Stock (Ondo),APPon,502.54,236563.7236564,99193197.38
PlotX,PLOT,0.003561,236204.58236205,1113312550.0
LandX Finance,LNDX,0.01662,236017.07236017,169221010000.0
ORBIT,GRIFT,0.0002354,235406.98235407,136883581270000.02
MoonDAO,MOONEY,0.00017,233876.64233877,1216971550000.0
UNIT0,UNIT0,0.04579,233541.56233542,2381445190000.0
Hudi,HUDI,0.01153,232542.96232543,232542.96232543
Carlo,CARLO,0.0002505,232279.23232279,232279.23232279
Vertex Protocol,VRTX,0.0004394,232188.39232188,232188.39232188
Dypius [New],DYP,0.001008,231981.57231982,44314390000.0
Cortex,CTXC,0.000981,231392.93231393,5886560000000.0
RioDeFi,RFUEL,0.0006715,231390.1823139,1184117630000.0
Memes AI,MemesAI,0.000231,231015.52231016,156279676460000.0
Honeyland,HXD,0.0005739,229844.88229845,2244239100000.0
Rally,RLY,3.69e-05,229533.17229533,151841130000.0
TiFi Token,TIFI,0.082471,193858.5193859,83190000000.0
RigoBlock,GRG,0.07174,193774.77193775,193774.77193775
DMAIL Network,DMAIL,0.001573,193452.36193452,188137119520000.0
Make CRO Great Again,MCGA,0.0001922,192234.07192234,192234.07192234
Metaverse Face,MEFA,2.019e-05,192201.37192201,192201.37192201
Koala AI,KOKO,0.072105,191835.01191835,130061720000000.0
ETHEREUM IS GOOD,EBULL,1.91e-05,191047.68191048,191047.68191048
Gifto,GFT,8.448e-05,189125.02189125,16186380.0
WOM Protocol,WOM,0.0009788,188915.99188916,11130.0
Kaon,KAON,4.256e-05,188841.45188841,17100401700000.0
FREEdom Coin,FREE,0.071899,188775.89188776,0.0
FireStarter,FLAME,0.002752,188661.17188661,14335552080000.0
Mystery,MYSTERY,0.094479,188438.62188439,0.0
Plant Vs Undead,PVU,0.000634,188267.22188267,2466438900000.0
STARS,STARS,0.054469,188028.43188028,188028.43188028
TradeTide,TTD,0.001089,149823.15149823,933069856320000.0
WTF Opossum,WTFO,0.0001763,149682.87149683,15608840000.0
Kunci Coin,KUNCI,0.0001213,149572.52149573,149572.52149573
Joystream,JOY,0.0001336,149552.13149552,111888837210000.0
BeFi Labs,BEFI,0.001919,149027.88149028,15528680900000.0
Aurigami,PLY,3.595e-05,148397.93148398,148397.93148398
Landwolf (landwolfcoin),WOLF,0.0003796,148277.2148277,148277.2148277
